acc_macro,prec_macro,rec_macro,f1_macro,acc_micro,prec_micro,rec_micro,f1_micro,rec_at_8,prec_at_8,f1_at_8,rec_at_15,prec_at_15,f1_at_15,auc_macro,auc_micro,loss_dev,acc_macro_te,prec_macro_te,rec_macro_te,f1_macro_te,acc_micro_te,prec_micro_te,rec_micro_te,f1_micro_te,rec_at_8_te,prec_at_8_te,f1_at_8_te,rec_at_15_te,prec_at_15_te,f1_at_15_te,auc_macro_te,auc_micro_te,loss_test_te,loss_tr
0.025000004,0.043169227,0.034834649,0.03855667,0.287877953,0.569203964,0.368072671,0.447057817,0.331705697,0.616033109,0.431219425,0.453099972,0.468996526,0.460911224,0.837139255,0.972724715,0.007184388,0.023758923,0.046911445,0.034677188,0.03987705,0.278532539,0.55759492,0.357547885,0.43570661,0.315014313,0.607799526,0.414960292,0.431047131,0.463009095,0.446456802,0.825370521,0.971728829,0.007507117,nan
0.024849742,0.043240433,0.035540054,0.039013908,0.289302752,0.552302547,0.377931132,0.448773962,0.328901049,0.610208461,0.427422363,0.448905815,0.46470468,0.456668644,0.836106716,0.973389683,0.007275229,0.025041308,0.049146776,0.036229978,0.041711274,0.280613208,0.542721519,0.367504039,0.438248187,0.313119973,0.603536477,0.412323123,0.430369795,0.462969553,0.446074858,0.827484587,0.972754713,0.007578326,nan
0.026410751,0.046707259,0.036518091,0.040988952,0.282076665,0.56294589,0.361171748,0.440030885,0.327523253,0.605916616,0.425205282,0.448946944,0.463192316,0.455958391,0.829974665,0.971405113,0.007370698,0.02492731,0.051174513,0.036134358,0.042358998,0.270512061,0.552517418,0.346404906,0.425831552,0.309778068,0.59375,0.407138935,0.426398705,0.456722025,0.441039766,0.819784693,0.970483318,0.007714757,nan
0.021866073,0.035450446,0.036941303,0.036180523,0.281141738,0.494852194,0.394303218,0.438892481,0.321527419,0.605916616,0.420119809,0.435089458,0.455303495,0.444967023,0.830520763,0.970547592,0.009439161,0.021383446,0.037531658,0.036528634,0.037023354,0.270464505,0.481645649,0.381515181,0.425772627,0.306835156,0.597679419,0.405497187,0.418507853,0.453341242,0.43522869,0.815683835,0.968317444,0.009916518,nan
0.0236685,0.03858123,0.036817095,0.037678524,0.284577598,0.510065575,0.39162735,0.443067976,0.324751223,0.605686695,0.422806275,0.442749302,0.459840589,0.451133126,0.83932652,0.972614692,0.00805099,0.023704055,0.044214909,0.037770154,0.040739224,0.277688527,0.504552782,0.381795404,0.434673273,0.311015958,0.601312278,0.409979011,0.423940085,0.456544089,0.43963843,0.828957808,0.971635801,0.008390961,nan
0.023957267,0.043661146,0.033246133,0.037748423,0.286475239,0.574656353,0.363565946,0.44536456,0.330675914,0.612890865,0.429579022,0.449901175,0.465726548,0.457677102,0.838886994,0.973328131,0.007198754,0.023845472,0.047117134,0.033753551,0.039331201,0.278523142,0.565096298,0.354514885,0.435695113,0.314834444,0.604463227,0.414024423,0.429613967,0.46136813,0.444925197,0.826949518,0.972177147,0.00751855,nan
0.025277551,0.043801592,0.035438919,0.039178976,0.291047179,0.550367927,0.381839307,0.450869936,0.333625557,0.618102391,0.433348112,0.454738845,0.470672389,0.462568447,0.834895493,0.973040749,0.007325098,0.02381047,0.046072762,0.03569151,0.040223105,0.271113151,0.503589698,0.369993077,0.426575952,0.316554022,0.609134045,0.416606498,0.433586667,0.465025702,0.448756218,0.824524357,0.97165366,0.007935865,nan
0.026010323,0.045044735,0.037593606,0.040983253,0.295772791,0.540921148,0.394901767,0.456519527,0.334754736,0.617872471,0.434242765,0.457018831,0.472103004,0.464438473,0.842149728,0.973693832,0.007316029,0.026361377,0.048529801,0.039688919,0.043666363,0.282953359,0.517771459,0.384202024,0.441096876,0.315274812,0.606427936,0.414865755,0.434432769,0.466310795,0.449807688,0.82766831,0.972337098,0.007785515,nan
0.025184897,0.04332351,0.036331489,0.039520624,0.288106937,0.535710777,0.383987043,0.44733388,0.32936047,0.616033109,0.429232774,0.449350782,0.466584917,0.457805712,0.8349935,0.972673387,0.007445034,0.025789261,0.049135389,0.038679895,0.043285215,0.281151619,0.528302325,0.375383246,0.438904521,0.312667319,0.603425267,0.411904568,0.42866276,0.461901938,0.444662044,0.825151325,0.971934045,0.007756744,nan
0.025050315,0.043368491,0.034934463,0.038697262,0.290301707,0.553459443,0.379093022,0.449974925,0.331588513,0.615113427,0.430894959,0.449876349,0.466094421,0.457841807,0.835114733,0.972785879,0.007281887,0.024683959,0.049518342,0.035468291,0.041331934,0.281132266,0.546780103,0.366547984,0.438880939,0.313359626,0.605315836,0.412945707,0.431787637,0.46437327,0.447488024,0.823023944,0.971532665,0.007614317,nan
0.024±0.001,0.042±0.003,0.035±0.001,0.038±0.001,0.287±0.004,0.544±0.024,0.379±0.011,0.446±0.004,0.329±0.003,0.612±0.004,0.428±0.004,0.448±0.005,0.465±0.004,0.456±0.005,0.835±0.003,0.972±0.000,0.007±0.000,0.024±0.001,0.046±0.003,0.036±0.001,0.040±0.001,0.277±0.004,0.530±0.026,0.368±0.012,0.434±0.005,0.312±0.002,0.603±0.004,0.412±0.003,0.428±0.004,0.461±0.004,0.444±0.004,0.824±0.003,0.971±0.001,0.007±0.000,
